danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.651,0.855,5,-5.959,1,0.0538,0.0068,9.81e-06,0.0759,0.698,121.98,audio_features,2vPMoMDXxu9uX1igWZmXSG,spotify:track:2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/tracks/2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/audio-analysis/2vPMoMDXxu9uX1igWZmXSG,230178,4
0.771,0.386,4,-8.917,1,0.0297,0.276,2.01e-05,0.121,0.239,103.96,audio_features,2ByBBvpR9b7IynvRmnG7kG,spotify:track:2ByBBvpR9b7IynvRmnG7kG,https://api.spotify.com/v1/tracks/2ByBBvpR9b7IynvRmnG7kG,https://api.spotify.com/v1/audio-analysis/2ByBBvpR9b7IynvRmnG7kG,271000,4
0.633,0.551,4,-8.297,1,0.0341,0.066,9.94e-06,0.127,0.164,109.95,audio_features,3CCRVu4F91Qp2mnGjmWBrf,spotify:track:3CCRVu4F91Qp2mnGjmWBrf,https://api.spotify.com/v1/tracks/3CCRVu4F91Qp2mnGjmWBrf,https://api.spotify.com/v1/audio-analysis/3CCRVu4F91Qp2mnGjmWBrf,279833,4
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
0.669,0.851,0,-6.526,1,0.0432,0.00357,1.04e-05,0.0676,0.541,118.026,audio_features,43y1WpBdnEy5TR9aZoSQL9,spotify:track:43y1WpBdnEy5TR9aZoSQL9,https://api.spotify.com/v1/tracks/43y1WpBdnEy5TR9aZoSQL9,https://api.spotify.com/v1/audio-analysis/43y1WpBdnEy5TR9aZoSQL9,207650,4
0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,audio_features,6ehWdR7cGDXnT7aKEASJxE,spotify:track:6ehWdR7cGDXnT7aKEASJxE,https://api.spotify.com/v1/tracks/6ehWdR7cGDXnT7aKEASJxE,https://api.spotify.com/v1/audio-analysis/6ehWdR7cGDXnT7aKEASJxE,201812,4
0.602,0.648,2,-6.905,1,0.103,0.0104,0.0,0.217,0.174,170.091,audio_features,6qAcApH8obo8eqatCKUHd9,spotify:track:6qAcApH8obo8eqatCKUHd9,https://api.spotify.com/v1/tracks/6qAcApH8obo8eqatCKUHd9,https://api.spotify.com/v1/audio-analysis/6qAcApH8obo8eqatCKUHd9,199773,4
0.581,0.672,8,-7.415,1,0.0739,0.0411,9.35e-05,0.118,0.514,140.061,audio_features,1K39ty6o1sHwwlZwO6a7wK,spotify:track:1K39ty6o1sHwwlZwO6a7wK,https://api.spotify.com/v1/tracks/1K39ty6o1sHwwlZwO6a7wK,https://api.spotify.com/v1/audio-analysis/1K39ty6o1sHwwlZwO6a7wK,220433,4
0.591,0.412,2,-13.27,1,0.0863,0.309,0.000199,0.0608,0.328,155.875,audio_features,0CD7DzeCsuPJygddqlUVYa,spotify:track:0CD7DzeCsuPJygddqlUVYa,https://api.spotify.com/v1/tracks/0CD7DzeCsuPJygddqlUVYa,https://api.spotify.com/v1/audio-analysis/0CD7DzeCsuPJygddqlUVYa,180381,4
0.632,0.807,7,-5.676,1,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,audio_features,3pv7Q5v2dpdefwdWIvE7yH,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/tracks/3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/audio-analysis/3pv7Q5v2dpdefwdWIvE7yH,219209,4
